S3 Bucket Summary Report
Generated at:,2025-06-07 14:16:54
AWS Account:,255820308257
""
Detailed Bucket Information
Bucket Name,Object Count,Total Size (Bytes),Storage Classes
aq-rubrik-glacier-test,3,629016827,GLACIER_IR: 3
aws-cloudtrail-logs-misfirm,37747,144411588,STANDARD: 37747
cf-templates-14mkss22xnmlv-us-east-1,1,9569,STANDARD: 1
clubcaliche.com,3,141115,STANDARD: 3
lmnr-data-255820308257-us-east-1-lambda,0,0,
lmnr-data-255820308257-us-west-2-lambda,0,0,
mis-bedrock-kb-datasource,1,5993,STANDARD: 1
mis-dspm-data,4416,6752821895,STANDARD: 4416
misfirm-aq-vhb,3740,22232862693,GLACIER: 174; STANDARD: 3566
misfirm-public,2,413351936,STANDARD: 2
misfirm.com,44,3324937,STANDARD: 44
rubrik-us-west-2-archive-0ea03ca5-3efd-4388-9077-a79d8a7904ca,102,10317277197,GLACIER_IR: 102
spinboro.com,5,174072,STANDARD: 5
""
Summary
Total Buckets,13
Total Objects,46064
Total Size (Bytes),40493397822
Total Size (GB),37.71
""
Storage Class Distribution
  GLACIER Objects,174
  GLACIER Size (Bytes),1034363130
  GLACIER Size (GB),0.96
  GLACIER_IR Objects,105
  GLACIER_IR Size (Bytes),10946294024
  GLACIER_IR Size (GB),10.19
  STANDARD Objects,45785
  STANDARD Size (Bytes),28512740667
  STANDARD Size (GB),26.55
